ID;MATRICULA;KM_RECORRIDOS;NUMERO_ACELERONES;NUMERO_FRENAZOS;RPM_MEDIA;INICIO;FIN
1;3445DKM;144,67;6;10;3050;2019-12-10 08:12:50.396;2019-12-10 09:59:30.360
2;3445DKM;76,63;4;7;2966;2019-12-10 11:47:08.632;2019-12-10 12:27:36.121
3;3445DKM;97,44;3;2;2565;2019-12-10 14:04:45.769;2019-12-10 14:24:54.183
4;3445DKM;133,32;9;2;2692;2019-12-10 15:59:12.747;2019-12-10 17:11:40.002
5;3445DKM;21,23;7;8;2734;2019-12-10 19:50:59.555;2019-12-10 20:24:51.209
6;3445DKM;24,82;6;1;2562;2019-12-10 21:43:46.329;2019-12-10 21:44:41.108
7;3445DKM;182,50;6;10;3091;2019-12-11 12:18:08.555;2019-12-11 12:51:39.410
8;3445DKM;150,99;6;6;2780;2019-12-11 14:15:22.445;2019-12-11 14:18:54.076
9;3445DKM;143,09;1;10;3012;2019-12-11 15:24:55.209;2019-12-11 16:23:20.668
10;3445DKM;198,93;9;7;2551;2019-12-12 16:51:07.973;2019-12-12 17:51:23.170
11;3445DKM;44,34;5;9;3006;2019-12-12 19:14:27.970;2019-12-12 20:11:37.664
12;3445DKM;81;2;9;2838;2019-12-12 21:23:23.619;2019-12-12 21:52:45.518
13;3445DKM;38;10;10;2688;2019-12-14 22:25:15.260;2019-12-15 00:19:38.023
14;3445DKM;82;2;9;2698;2019-12-15 01:47:09.519;2019-12-15 01:52:17.591
15;3445DKM;119;2;4;2952;2019-12-15 20:00:57.313;2019-12-15 20:06:48.639
16;3445DKM;79;3;8;2752;2019-12-16 11:22:34.265;2019-12-16 11:43:41.822
17;3445DKM;115;6;6;2848;2019-12-16 16:45:17.706;2019-12-16 18:43:24.579
18;3445DKM;171;1;4;2956;2019-12-17 07:28:48.498;2019-12-17 09:14:39.458
19;3445DKM;183;5;5;2570;2019-12-19 10:25:28.094;2019-12-19 12:17:25.247
20;3445DKM;56;8;7;2701;2019-12-11 08:12:50.520;2019-12-11 09:13:15.033
21;3445DKM;170;8;7;2893;2019-12-13 10:36:32.717;2019-12-13 11:36:04.022
22;3445DKM;180;9;10;3085;2019-12-15 13:29:38.051;2019-12-15 13:36:48.821
23;3445DKM;98;7;5;2787;2019-12-17 14:43:08.694;2019-12-17 15:31:30.315
24;3445DKM;60;3;0;3052;2019-12-19 16:50:38.150;2019-12-19 16:58:13.029
25;3445DKM;178;5;9;2528;2019-12-21 18:45:54.267;2019-12-21 20:38:53.055
26;3445DKM;70;3;8;2901;2019-12-23 22:20:01.578;2019-12-23 23:19:40.329
27;3445DKM;104;10;10;2976;2019-12-26 00:38:34.364;2019-12-26 02:08:12.054
28;3445DKM;54;8;2;2546;2019-12-28 03:12:29.586;2019-12-28 03:43:20.287
29;3445DKM;151;7;0;2731;2019-12-30 05:24:15.089;2019-12-30 06:15:18.961
30;3445DKM;87;10;0;2625;2020-01-01 09:00:34.532;2020-01-01 10:50:29.253
31;3445DKM;179;8;6;2554;2020-01-03 14:13:36.208;2020-01-03 14:52:44.699
32;3445DKM;92;9;4;2711;2020-01-05 19:22:39.320;2020-01-05 20:39:29.551
33;3445DKM;158;2;5;2662;2020-01-08 02:22:29.731;2020-01-08 03:07:33.174
34;3445DKM;139;1;7;2500;2020-01-10 09:53:03.058;2020-01-10 11:46:33.353
35;3445DKM;13;3;1;2677;2020-01-12 19:21:00.063;2020-01-12 20:29:45.185
36;3445DKM;16;0;10;2713;2020-01-15 04:52:28.203;2020-01-15 06:38:17.955
37;3445DKM;51;9;3;2832;2020-01-17 16:05:27.630;2020-01-17 17:01:28.469
38;3445DKM;35;10;5;2958;2020-01-20 03:47:43.690;2020-01-20 05:03:54.124
39;3445DKM;162;3;1;3087;2020-01-22 16:56:40.377;2020-01-22 16:59:01.298
40;3445DKM;191;3;0;3077;2020-01-25 05:40:56.088;2020-01-25 06:02:43.564
41;3445DKM;60;8;3;2662;2020-01-27 20:00:43.418;2020-01-27 20:10:06.813
42;3445DKM;129;2;3;3070;2020-01-30 10:21:43.853;2020-01-30 10:37:28.236
43;3445DKM;8;6;2;2608;2020-02-02 02:00:49.012;2020-02-02 03:42:05.584
44;3445DKM;32;2;2;2793;2020-02-04 19:53:24.508;2020-02-04 20:02:51.816
45;3445DKM;167;2;8;2795;2020-02-07 13:40:30.710;2020-02-07 14:10:19.762
46;3445DKM;60;2;4;2964;2020-02-10 08:24:45.256;2020-02-10 10:10:39.954
47;3445DKM;126;4;9;2978;2020-02-13 05:22:11.470;2020-02-13 06:42:34.534
48;3445DKM;45;3;10;2954;2020-02-16 03:27:37.686;2020-02-16 05:19:44.883
49;3445DKM;14;8;8;2997;2020-02-19 02:42:55.160;2020-02-19 03:01:37.320
50;3445DKM;54;7;3;2586;2020-02-22 01:20:20.724;2020-02-22 01:59:36.254
51;3445DKM;50;7;4;3053;2020-02-25 01:09:38.073;2020-02-25 03:03:51.578
