ID;MATRICULA
1;3445DKM
2;3445DKM
3;3445DKM
4;3445DKM
5;3445DKM
6;3445DKM
7;3445DKM
8;3445DKM
9;3445DKM
10;3445DKM
11;3445DKM
12;3445DKM
13;3445DKM
14;3445DKM
15;3445DKM
16;3445DKM
17;3445DKM
18;3445DKM
19;3445DKM
20;3445DKM
21;3445DKM
22;3445DKM
23;3445DKM
24;3445DKM
25;3445DKM
26;3445DKM
27;3445DKM
28;3445DKM
29;3445DKM
30;3445DKM
31;3445DKM
32;3445DKM
33;3445DKM
34;3445DKM
35;3445DKM
36;3445DKM
37;3445DKM
38;3445DKM
39;3445DKM
40;3445DKM
41;3445DKM
42;3445DKM
43;3445DKM
44;3445DKM
45;3445DKM
46;3445DKM
47;3445DKM
48;3445DKM
49;3445DKM
50;3445DKM
51;3445DKM
