ID;MATRICULA;KM_RECORRIDOS;NUMERO_ACELERONES;NUMERO_FRENAZOS;RPM_MEDIA
1;3445DKM;172,15;6;5;2719
2;3445DKM;22,23;6;0;2825
3;3445DKM;123,01;6;4;2583
4;3445DKM;156,51;10;0;3042
5;3445DKM;25,89;6;8;2676
6;3445DKM;151,50;1;4;2525
7;3445DKM;189,62;5;0;3025
8;3445DKM;23,77;9;3;2857
9;3445DKM;26,31;10;5;2525
10;3445DKM;123,45;5;2;2989
11;3445DKM;28,06;1;5;2825
12;3445DKM;63;0;8;2982
13;3445DKM;152;5;9;2577
14;3445DKM;125;4;3;2544
15;3445DKM;93;1;7;2573
16;3445DKM;114;9;5;2952
17;3445DKM;145;1;10;2989
18;3445DKM;123;8;5;2708
19;3445DKM;185;6;0;2677
20;3445DKM;3;6;9;2898
21;3445DKM;22;7;10;3095
22;3445DKM;76;3;2;3042
23;3445DKM;101;7;2;2593
24;3445DKM;99;8;4;2698
25;3445DKM;111;7;9;2567
26;3445DKM;175;10;3;2622
27;3445DKM;71;3;8;2548
28;3445DKM;28;0;4;2928
29;3445DKM;6;4;0;2673
30;3445DKM;96;9;3;2926
31;3445DKM;112;3;4;2967
32;3445DKM;88;8;6;3099
33;3445DKM;56;3;4;3089
34;3445DKM;170;1;10;2688
35;3445DKM;154;5;1;2566
36;3445DKM;123;5;7;2741
37;3445DKM;36;0;8;2872
38;3445DKM;168;6;10;3067
39;3445DKM;11;9;6;2593
40;3445DKM;177;7;0;3028
41;3445DKM;59;8;9;3015
42;3445DKM;156;2;10;2757
43;3445DKM;100;2;5;2748
44;3445DKM;19;1;8;2893
45;3445DKM;161;5;3;2997
46;3445DKM;110;5;10;2906
47;3445DKM;90;0;2;2908
48;3445DKM;16;0;5;2840
49;3445DKM;187;6;1;2918
50;3445DKM;129;8;6;2759
51;3445DKM;74;6;10;3049
